cn,label,en
烂水果,4,Rotten fruit
鸡皮,4,Chicken skin
海瓜子壳,4,Sea melon seed shell
桂皮,4,Cinnamon
鸡蛋仔,4,Egg waffles
螺蛳,4,Snail
猪蹄骨,4,Trotters
过期大米,4,Expired rice
过期糖,4,Expired sugar
过期巧克力,4,Expired chocolate
巧克力酱,4,chocolate sauce
李子,4,Plum
鸟粪,4,guano
栗子壳,4,Chestnut shell
核桃肉,4,Walnut meat
李子核,4,Plum core
薯条,4,fries
柠檬皮,4,lemon peel
柚子皮,4,Grapefruit peel
蛋白,4,protein
干果仁,4,Dried nuts
橄榄核,4,Olive pit
姜糖,4,Ginger candy
瓜子皮,4,Melon seed peel
玉米棒,4,Corn on the cob
过期食品,4,expired food
虾头,4,Shrimp head
牛蛙骨,4,Bullfrog Bone
杨梅核,4,Bayberry core
过期调味料,4,Expired seasoning
孜然粉,4,Cumin powder
蜂蜜,4,Honey
红豆糕,4,Red bean cake
叉烧,4,Barbecued pork
菠萝包,4,Pineapple buns
干面条,4,Dried noodles
干脆面,4,Crispy noodles
出前一丁面条,4,Demae Ding Noodles
多宝鱼骨头,4,Turbot bones
草本植物,4,herb
小核桃肉,4,Small walnut meat
凋谢的鲜花,4,Withered flowers
咖啡豆渣,4,Coffee bean dregs
蚌肉,4,Clam meat
盐水花生,4,Salted peanuts
盐水花生壳,4,Salted peanut shells
豆浆渣,4,Soy milk residue
红枣核,4,Jujube nucleus
枣子核,4,Jujube kernels
面粉,4,flour
咖啡粉,4,coffee powder
桔子皮,4,Orange peel
橘子,4,tangerinr
牛油果皮,4,Avocado Peel
油桃肉,4,Nectarine Meat
水蜜桃,4,Peach
樱桃干,4,Dried cherries
龙虾片,4,Lobster Chips
土豆泥,4,Mashed potatoes
废弃植物,4,Abandoned plants
玉米猫砂,4,Corn cat litter
油烟机油脂,4,Range hood grease
油条,4,You Tiao
紫薯皮,4,Purple Sweet Potato Skin
燕麦片,4,oatmeal
小米,4,Millet
糯米,4,Sticky rice
白糖,4,Sugar
榨菜,4,Mustard
油桃核,4,Nectarine pit
酸豆角,4,Capers
牛肉,4,beef
鸭肉,4,duck
话梅肉,4,Plum meat
鱼皮花生,4,Fish skin peanuts
咸蛋黄,4,Salted egg yolk
冬瓜皮,4,Winter Melon Peel
咖啡伴侣粉,4,Coffee mate powder
苦瓜,4,Momordica charantia
小龙虾头,4,Crayfish head
石榴,4,Pomegranate
石榴籽,4,Pomegranate seeds
叫化鸡,4,Beggar
干辣椒,4,Dried chili
山药,4,Yam
土豆皮,4,Potato skins
炒花生米,4,Fried peanuts
蟹肉,4,Crabmeat
虾肉,4,Shrimp
速冻馄饨,4,Quick Frozen Wonton
棒棒糖,4,Lollipop
蛤肉,4,Clam meat
小龙虾肉,4,Crayfish Meat
蚕豆,4,broad bean
樱桃梗,4,Cherry terrier
水果皮,4,fruit peel
皮蛋,4,preserved egg
咸蛋,4,Salted egg
奇异果,4,Kiwi
花甲壳,8,Flower Carapace
海底捞锅底,4,Haidilao pot bottom
牛肉干,4,Dried beef
椰果,4,Coconut
鸭下巴,4,Duck chin
芝麻酱,4,Tahini
花生酱,4,peanut butter
小龙虾黄,4,Crayfish Yellow
肯德基炸鸡,4,KFC Fried Chicken
麦当劳炸鸡,4,McDonald's Fried Chicken
面饼,4,Noodles
鸡蛋饼,4,Omelet
煎饼,4,Pancakes
哈密瓜,4,cantaloupe
哈密瓜籽,4,Cantaloupe seeds
干树叶,4,Dry leaves
绿豆糕,4,green bean cake
乒乓糯米糍,4,Ping pong glutinous rice cake
杏仁核,4,Amygdala
黄杏核,4,Yellow apricot kernel
茶叶,4,tea
铁观音,4,Tieguanyin
乌龙茶,4,Oolong tea
白茶,4,White tea
桔普茶,4,Orange tea
水草,4,Aquatic plants
海藻,4,seaweed
水果软核,4,Fruit soft core
咖喱粉,4,Curry powder
瓜子,4,Melon seeds
大蒜皮,4,Garlic peel
扇贝壳,4,Scallop shell
咸蛋壳,4,Salted egg shell
鸭蛋壳,4,Duck eggshell
凤梨皮,4,Pineapple peel
面包屑,4,Bread crumbs
小龙虾,4,crayfish
香榧子壳,4,Torreya shell
鸡蛋皮,4,Egg crust
凤梨酥,4,Pineapple Cake
苹果派,4,Apple pie
玉米芯,4,Corn cob
黄瓜皮,4,Cucumber peel
橙子皮,4,Orange zest
生鸡蛋壳,4,Raw egg shell
花茶渣,4,Scented tea dregs
荷叶,4,Lotus leaf
柚子核,4,Grapefruit core
青蟹壳,4,Blue Crab Shell
山楂片,4,Hawthorn tablets
红辣椒,4,Red chilli
巧克力粉,4,chocolate powder
鸭架,4,Duck rack
白砂糖,4,White sugar
鸽粪,4,Pigeon droppings
桃子皮,4,Peach peel
桂圆干,4,Dried longan
中草药材,4,Chinese herbal medicine
梭子蟹壳,4,Portunus Crab Shell
河虾,4,River prawns
白米虾,4,White Rice Shrimp
象鼻蚌,4,Elephant Clam
水蜜桃核,4,Peach pit
糯米纸,4,Glutinous rice paper
鸡蛋卷,4,Egg rolls
鸡蛋壳,4,Egg shell
豆干,4,Dried tofu
豆腐干,4,Dried tofu
冬瓜籽,4,Winter melon seeds
向日葵花束,4,Sunflower bouquet
枯萎花束,4,Withered bouquet
笋干,4,Dried bamboo shoots
白煮蛋,4,Hard boiled egg
花蛤肉,4,Clam meat
蛋黄酥,4,Egg Yolk Crisp
油墩子,4,Youdunzi
葱油饼,4,Scallion pancakes
山东煎饼,4,Shandong Pancake
碎骨头,4,Broken bones
枸杞,4,Wolfberry
猪肝,4,Pork liver
碧根果肉,4,Pecan pulp
茭白皮,4,Zizania White Bark
西葫芦,4,squash
猪肉,4,pork
小排骨,4,Small ribs
沙拉酱,4,Salad dressing
拉菲草,4,Raffia
大白兔奶糖,4,White Rabbit Toffee
猕猴桃皮,4,Kiwi peel
桃仁,4,Peach kernel
杨梅干,4,Dried bayberry
带子壳,4,Belt shell
玉米塑料袋,4,Corn Plastic Bag
鸭头,4,Duck head
翅尖,4,Wing tip
番茄沙司,4,ketchup
巴旦木,4,Batam
叶子,4,leaf
鸭舌,4,Duck tongue
黄芪,4,Astragalus
三七粉,4,Notoginseng powder
章鱼小丸子,4,Octopus dumplings
鱿鱼,4,squid
鱿鱼丝,4,Squid shreds
生蚝肉,4,Oyster Meat
枇杷,4,Loquat
烤鸭,4,Roast Duck
北京烤鸭,4,Peking duck
洋山芋,4,Potato
铁棍山药,4,Iron Bar Yam
鸭锁骨,4,Duck clavicle
海星,4,starfish
黑椒牛排,4,Black pepper steak
杨桃,4,Carambola
胡萝卜皮,4,Carrot peel
生肉,4,Raw meat
皮蛋壳,4,Preserved eggshell
山楂干,4,Dried hawthorn
番茄皮,4,Tomato peel
番茄梗,4,Tomato Stem
鲜花饼,4,Flower cake
公丁香,4,Male cloves
薄荷叶,4,Mint leaf
花甲粉,4,Flower beetle powder
金丝皇菊,4,Golden silk chrysanthemum
火腿肠,4,Ham sausage
藏红花,4,Saffron
基围虾,4,Kewei Shrimp
基围虾壳,4,Kewei Shrimp Shell
烘山芋皮,4,Baked Potato Peel
茶叶蛋壳,4,Tea eggshell
咸鸡,4,Salted Chicken
烤鸡,4,roast chicken
盐水鸭,4,Salted Duck
银耳,4,Tremella
意大利面,4,spaghetti
烧饼,4,Biscuits
红薯皮,4,Sweet potato skin
雪花酥,4,Snowflakes
干桂圆壳,4,Dried longan shell
丝瓜,4,Loofah
玉米粒,4,corn kernels
胖大海,4,Fat sea
干面粉,4,Dry flour
薰衣草,4,Lavender
干花生壳,4,Dried peanut shells
猫冻干,4,Cat freeze-dried
麻辣香锅残渣,4,Spicy Fragrant Pot Residue
菠萝蜜肉,4,Jackfruit Meat
五香蛋,4,Spiced Egg
莴苣,4,lettuce
蒲公英,4,Dandelion
小笼包,4,Xiao Long Bao
灌汤包,4,Tang Bao
德克士炸鸡,4,Dicos Fried Chicken
鲫鱼,4,Crucian carp
鳜鱼,4,Mandarin Fish
粉丝,4,fan
木耳,4,fungus
花草茶渣,4,Herbal Tea Residue
肉夹馍,4,Roujiamo
粗盐,4,Coarse salt
豆杆,4,Bean stalk
青豆,4,Haricot vert
青豆萁,4,Osmunda japonica
饺子皮,4,dumpling skin
馄饨皮,4,Wonton wrapper
白瓜子,4,White melon seeds
煎饼果子,4,Chinese savior crepe
小葱,4,Shallots
木瓜,4,pawpaw
木瓜籽,4,Papaya seeds
可降解吸管,4,Degradable straw
小肉骨头,4,Small fleshy bones
螺蛳粉,4,Snail powder
芋艿皮,4,Taro skin
花椒粉,4,pepper powder
绿豆沙,4,Green bean paste
荞麦,4,Buckwheat
荞麦面,4,Soba noodles
阿胶,4,Donkey-hide
宽粉条,4,Wide vermicelli
毛豆皮,4,Edamame
麦片,4,oatmeal
纸吸管,4,Paper straws
调制海藻面膜,4,Modified seaweed mask
桂花糕,4,Osmanthus cake
猪皮,4,Pigskin
臭虫,4,bed bugs
芡实糕,4,Gorgon Cake
牛轧糖,4,Nougat
火鸡骨头,4,Turkey bones
鸡头,4,Chicken head
猪排,4,Pork chops
猪扒,4,Pork chop
蜗牛,4,snails
鱼饲料,4,fish food
银杏果,4,Ginkgo Fruit
麻花,4,Twist
鱼头,4,Fish head
早餐谷物,4,Breakfast cereals
猪小排,4,Pork Ribs
猪肉排骨,4,Pork ribs
玉米纤维袋,4,Corn fiber bag
话梅壳,4,Talking about plum shells
乌梅壳,4,Ebony shell
山竹核,4,Mangosteen core
鸡软骨,4,Chicken cartilage
杏子核,4,Apricot Kernel
虾皮,4,Dried shrimp
虾米,4,Dried shrimp
蟠桃核,4,Flat peach pit
手擀面,4,Hand-rolled noodles
甲鱼小骨,4,Turtle ossicles
猪肋排,4,Pork ribs
里脊肉,4,Tenderloin
木薯淀粉,4,Cassava starch
香蕉干,4,Dried banana
鸭皮,4,Duck skin
纸巾,8,tissue
牙签,8,toothpick
一次性筷子,8,Disposable chopsticks
陶瓷类废弃物,8,Ceramic waste
清扫渣土,8,Sweep the muck
陶瓷碗碟,8,Ceramic dishes
大块骨头,8,Big bones
植物硬壳,8,Plant hard shell
枯萎花草,8,Withered flowers and plants
塑料袋,8,Plastic bag
保鲜膜,8,plastic wrap
A4纸包装袋,8,A4 paper packaging bag
零食包装袋,8,Snack Packaging Bag
快递包装袋,8,Courier bag
热饮杯盖,8,Lid for hot drinks
咖啡杯杯盖,8,Coffee cup lid
干电池（无汞）,8,Dry battery (no mercury)
纸尿裤,8,Diapers
卫生纸,8,toilet paper
卫生巾外层薄塑纸,8,Sanitary napkin outer thin plastic paper
湿纸巾,8,Wet wipes
旧浴缸,8,Old bathtub
盆子,8,Basin
坏马桶,8,Bad toilet
旧水槽,8,Old aquarium
坛子,8,earthen jar
菜板,8,Chopping board
砖块,8,Bricks
杯子,8,Cup
瓦片,8,Tiles
西梅核,8,Prune nucleus
坏的花盆,8,Bad flowerpot
木质梳子,8,Wooden comb
脏污衣服,8,Dirty clothes
湿垃圾袋,8,Wet garbage bag
水彩笔,8,Watercolor pen
过期化妆品,8,Expired cosmetics
旧镜子,8,Old mirror
猫罐头,8,Canned cat
牙膏壳,8,Toothpaste shell
椰子壳,8,coconut shell
塑料垃圾袋,8,Plastic garbage bag
污染纸张,8,Contaminate paper
废弃食品袋,8,Food waste bag
一次性餐盒,8,Disposable lunch box
旧毛巾,8,Old towel
牙膏皮,8,Toothpaste skin
废弃的纸张,8,Discarded paper
装修废弃物,8,Decoration waste
盛放厨余果皮的垃圾袋,8,Garbage bag for food waste
灰土,8,Lime soil
污染较严重的纸,8,More polluted paper
核桃壳,8,Walnut shells
头发,8,hair
胶带,8,adhesive tape
一次性咖啡纸杯,8,Disposable coffee cup
奶茶纸杯,8,Milk Tea Paper Cup
护理垫,8,Nursing pad
包裹着狗屎的纸巾,8,Paper towel wrapped in shit
包裹着狗屎的报纸,8,Newspaper wrapped in shit
雪糕袋,8,Ice cream bag
棉花棒,8,Cotton swab
橡皮泥,8,Plasticine
粽叶,8,Zongye
猫毛,8,Cat hair
小票,8,receipt
蚊香片,8,Mosquito coil
暖宝宝,8,Warm baby
干冰,8,dry ice
铅笔屑,8,Pencil shavings
被污染的垃圾袋,8,Contaminated garbage bags
田螺壳,4,Escargot Shell
蛏子壳,8,Razor shell
文蛤壳,8,Clam shell
水彩颜料,8,Watercolor paints
一次性口罩,8,Disposable mask
口香糖,8,chewing gum
一次性塑料袋,8,Disposable plastic bag
污渍纸巾,8,Stained tissue
木瓶塞,8,Wooden cork
指甲片,8,Nail piece
大米袋,8,Large rice bag
烟盒,1,cigarette case
烧烤木签,8,BBQ wooden sign
棉花球,8,Cotton ball
泡沫盒子,8,Bubble box
大龙虾壳,8,Large lobster shell
中药袋,8,Chinese medicine bag
胶带纸,8,tape
薯片罐,8,Potato Chip Jar
牙线,8,Dental floss
塑料吸管,8,Plastic straw
一次性保鲜膜,8,Disposable plastic wrap
湿巾纸,8,Wet tissue paper
瓷器碎片,8,Porcelain fragments
砖瓦陶瓷,8,Brick and ceramics
雪糕包装袋,8,Ice cream packaging bag
泡面桶,8,Instant noodle bucket
酒精棉花,8,Alcohol cotton
玉米皮,8,Corn husk
奶茶塑料杯,8,Milk tea plastic cup
头屑,8,Dandruff
帝王蟹壳,8,King crab shell
一次性用品,8,Disposable items
渣土,8,Muck
陶瓷制品,8,Ceramic products
烘培纸,8,Baking paper
除湿袋,8,Dehumidification bag
滤纸,8,filter paper
生蚝壳,8,Oyster shell
猪大骨,8,Pig bone
一次性塑料餐盒,8,Disposable plastic lunch box
调料袋,8,Seasoning bag
发热包,8,Fever pack
洗衣液包装袋,8,Laundry detergent packaging bag
咖啡滤纸,8,Coffee filter
包裹着狗屎的塑料袋,8,Plastic bag wrapped in shit
塑料盖子,8,plastic cap
头饰,8,Headwear
胶囊咖啡,8,Capsule coffee
椰青壳,8,Coconut shell
吸油纸,8,Blotting paper
厨房用纸,8,Kitchen paper
琴弦,8,Strings
呕吐物纸巾,8,Vomit tissue
纸质包装袋,8,Paper packaging bag
方便面桶,8,Instant noodle bucket
面膜包装袋,8,Mask packaging bag
塑料拖鞋,1,plastic slipper
橡皮筋,8,Rubber band
水笔笔芯,8,Fountain pen refill
湿灰尘,8,Wet dust
蛤蜊壳,8,Clam shell
纽扣（少量）,8,Buttons (a small amount)
一次性塑料手套,8,Disposable plastic gloves
中性笔,8,Gel pen
KFC食物包装,8,KFC food packaging
蚊香灰,8,Mosquito incense ash
乳胶,8,emulsion
玻璃胶,8,Glass glue
带有婴儿粪便的尿不湿,8,Diapers with baby stool
暖宝宝贴,8,Warm baby stickers
牛奶袋,8,Milk bag
血糖试纸,8,Blood glucose test strips
餐饮外卖盒,8,Food takeaway box
油画颜料,8,Oil paints
油画颜料软管,8,Oil paint hose
吸管塑料包装,8,Straw plastic packaging
橡胶制品,8,rubber products
橡胶手套,8,Rubber gloves
过期口红,8,Expired lipstick
黄油包装纸,8,Butter wrapper
脏纸尿裤,8,Dirty diapers
蛋糕盒,8,Cake box
干净无油食品包装袋,8,Clean and oil-free food packaging bags
面包袋,8,Bread bag
蛋糕袋,8,Cake bag
快递单,8,Courier
营养土,8,Nutrient soil
一次性塑料盘,8,Disposable plastic tray
冰宝贴,8,Ice sticker
一次性塑料调羹,8,Disposable plastic spoon
手指甲,8,Fingernails
小纸屑,8,Little confetti
眼镜架,8,Glasses frame
陶土花瓶,8,Terracotta vase
牛肋骨,8,Beef ribs
被油污污染过的报纸,8,Newspapers polluted by oil
脏纸巾,8,Dirty tissue
衣服标签,8,Clothing label
小核桃壳,8,Small walnut shell
电蚊香片,8,Electric mosquito coil
瓷碎片,8,Porcelain fragments
卫生棉条,8,Tampon
一次性塑料浴帽,8,Disposable plastic shower cap
一次性纸餐盘,8,Disposable paper dinner plate
纸巾包装袋,8,Paper towel packaging bag
抽纸塑料袋,8,Draw paper plastic bag
毛笔写过的纸,8,Paper written with a brush
塑料表带,8,Plastic strap
粉饼盒,8,Compact powder box
502胶水,8,502 glue
硅胶猫砂,8,Silicone cat litter
水晶猫砂,8,Crystal cat litter
冰淇淋包装袋,8,Ice cream packaging bag
护手霜,8,Hand cream
粉尘,8,dust
一次性餐具,8,Disposable tableware
卸妆纸巾,8,Makeup remover
洗衣粉,8,washing powder
气泡膜,8,Bubble film
智齿,8,Wisdom teeth
钢丝球,8,Steel ball
一次性纸杯,8,Disposable paper cup
大头针,8,Pin
永生花,8,Eternal flower
带有婴儿粪便的纸尿裤,8,Diapers with baby feces
塑封袋,8,Plastic bag
圆珠笔芯,8,Ballpoint Pen Refill
面膜外层纸,8,Mask outer layer paper
袋泡茶,8,Teabag
塑料花,8,plastic flower
冰箱贴,8,Fridge magnet
假睫毛胶水,8,False eyelash glue
洗碗布,8,dishcloth
电话卡,8,phone card
手机壳,8,phone case
面巾纸,8,Facial tissue
泥土,8,soil
网球,8,tennis
烟灰,8,Soot
毛衣针,8,Sweater stitch
护发精油,8,Hair oil
紫砂壶,8,Purple Clay Teapot
防晒喷雾,8,Sunscreen spray
棉花,8,cotton
寄居蟹,8,Hermit crab
水饺包装袋,8,Dumpling Packaging Bag
巧克力包装袋,8,Chocolate packaging bag
饼干包装袋,8,Biscuit Packaging Bag
奶嘴,8,nipple
糖纸,8,Sugar paper
胡须,8,beard
包裹着痰的纸巾,8,Paper towel wrapped in phlegm
包裹着鼻涕的纸巾,8,A tissue wrapped in a mucus
KFC纸盒,8,KFC carton
麦当劳纸盒,8,McDonald's carton
牛骨,8,Beef bone
啤酒瓶盖,1,Beer bottle cap
糖果皮,8,Candy skin
包裹着西瓜籽的纸巾,8,Paper towel wrapped with watermelon seeds
包裹着鼻屎的纸巾,8,Tissue wrapped in booger
冷饮包装,8,Cold drink packaging
外卖塑料袋,8,Takeaway Plastic Bag
外卖塑料盒,8,Takeaway Plastic Box
外卖纸盒,8,Takeaway carton
5号电池（无汞）,8,AA battery (no mercury)
7号电池（无汞）,8,AAA battery (no mercury)
湿头发,8,Wet hair
毛发,8,Hair
一次性手套,8,Disposable gloves
卸妆膏,8,Makeup remover
手机膜,8,Phone film
防霉防蛀片,8,Anti-mold and moth-proof tablets
卫生护垫,8,Sanitary pad
摩丝罐,8,Mousse jar
厨房手套,8,Kitchen gloves
沐浴球,8,Bath ball
耳塞,8,Earplugs
牙线棒,8,Dental floss stick
修正液,8,Correction fluid
废纸,8,Waste paper
卫生间用纸,8,Toilet paper
陶瓷花瓶,8,Ceramic vase
陶瓷花盆,8,Ceramic flowerpot
防碎气泡膜,8,Shatterproof bubble film
污损塑料袋,8,Stained plastic bag
水晶泥,8,Crystal mud
胶纸,8,Tape
剃须泡沫罐,8,Shaving foam tank
风油精,8,Fengyoujing
奶茶塑料盖,8,Milk tea plastic cover
打火机,8,lighter
擦碗布,8,Dishcloth
碱性电池,8,Alkaline battery
烧烤锡纸,8,BBQ tin foil
外卖饭盒,8,Takeaway lunch box
装过湿垃圾的塑料袋,8,Plastic bags containing wet garbage
纸质外卖盒,8,Paper takeaway box
塑料外卖盒,8,Plastic takeaway box
马桶刷,8,Toilet brush
狗尿垫,8,Dog pad
太空沙,8,Space sand
带胶制品,8,Rubber products
竹制品,8,bamboo product
成分复杂的制品,8,Complex products
皮皮虾壳,8,Pippi Shrimp Shell
使用过的安全套,8,Used condoms
青口贝,8,Mussels
碎纸屑,8,Confetti
洗头膏,8,shampoo
番茄酱包装袋,8,Tomato sauce packaging bag
面纸,8,Facial tissue
身体乳,8,Body milk
青草膏,8,Green grass cream
洁面摩丝,8,Cleansing mousse
一次性塑料勺子,8,Disposable plastic spoon
眼线笔,8,Eyeliner
眉粉,8,Eyebrow powder
沾有油渍的食品包装袋,8,Food packaging bags stained with oil
薯片包装袋,8,Potato Chips Packaging Bag
自动铅笔笔芯,8,Mechanical pencil refill
香薰球,8,Aromatherapy ball
隐形眼镜护理液,8,Contact lens care solution
脏卫生巾,8,Dirty sanitary napkins
湿塑料袋,8,Wet plastic bag
牛骨棒,8,Beef bone stick
草纸,8,toilet paper
雨衣,8,raincoat
湿纸巾包装,8,Wet wipes packaging
纸饭盒,8,Paper lunch box
成人用品,8,Adult Products
河蚌壳,8,Mussel shell
香肠壳,8,Sausage shell
发夹,8,Hairpin
发带,8,Headband
驱蚊香片,8,Mosquito repellent incense
薯片盒,8,Potato Chip Box
吸尘器灰尘,8,Vacuum cleaner dust
粉扑,8,Powder puff
咖啡胶囊,8,Coffee capsule
鸡毛,8,Chicken feather
安全套包装袋,8,Condom packaging bag
尿片,8,Diapers
冰棒棍,8,Popsicle stick
广告颜料,8,Advertising paint
陶泥,8,Clay
猪骨头,8,Pig bones
使用过的面膜,8,Used mask
使用过的卫生巾,8,Used sanitary napkins
喝过的奶茶杯子,8,Drunk milk tea cup
高密度碎纸机处理的碎纸,8,Shredded paper processed by high-density shredder
泡面袋,8,Instant noodle bag
太阳眼镜,8,Sunglasses
美妆蛋,8,Beauty Egg
胭脂,8,rouge
油条包装袋,8,You Tiao Packaging Bag
奶茶杯,8,Milk tea cup
购物卡,1,shopping card
订书机钉,8,Stapler nail
彩泥,8,Color mud
冰贴,8,Ice stickers
棒冰棍,8,Popsicle
香烟头,8,Cigarette butts
泡沫饭盒,8,Foam lunch box
PH试纸,8,PH test paper
葡萄酒木塞,8,Wine cork
包裹着口香糖的纸巾,8,Paper towel wrapped with chewing gum
火腿肠包装纸,8,Ham Sausage Wrapping Paper
艾灸条,8,Moxibustion strips
保冷剂,8,Coolant
草木灰,8,plant ash
驱蚊手环,8,Mosquito repellent bracelet
挂耳咖啡,8,Hanging ear coffee
滤挂咖啡,8,Filter coffee
柳絮,8,Catkins
洗涤液包装袋,8,Washing liquid packaging bag
石锅,8,Stone pot
灭蚊灯,8,Mosquito Killer
红酒塞,8,Wine stopper
枕巾,8,Pillow towel
1号电池（无汞）,8,No. 1 battery (no mercury)
电子烟烟弹,8,Electronic cigarette cartridge
陶瓷盘子,8,Ceramic plate
榨菜袋,8,Mustard bag
卷筒纸,8,web
方便面调味包,8,Instant noodle seasoning package
脱毛膏,8,Hair removal cream
三角裤,8,Briefs
平角裤,8,Pants
海绵粉扑,8,Sponge puff
一次性竹筷子,8,Disposable bamboo chopsticks
碎碗,8,Broken bowl
白板笔,8,Whiteboard pen
海螺壳,8,Conch shell
花蛤壳,8,Flower clam shell
棉线,8,Cotton thread
糖包,8,sugar bag
鼠标垫,8,mouse pad
便条贴,8,Memo
水果塑料盒,8,Fruit plastic box
糖浆包,8,Syrup packet
泳镜,8,Swimming goggles
粘土,8,clay
干草,8,hay
酸奶勺,8,Yogurt spoon
中药包,8,Chinese medicine package
猪腿骨,8,Pork leg bone
茶叶包,8,Tea bag
豆浆杯,8,Soy milk cup
测血糖针,8,Blood glucose test needle
唇釉,8,Lip glaze
一次性打火机,8,Disposable lighter
棒棒糖棒子,8,Lollipop
旧内衣,8,Old underwear
牛骨头,8,Cow bones
冰棒皮,8,Popsicle skin
冰棒外包装,8,Popsicle outer packaging
滴漏式咖啡,8,Drip coffee
星巴克咖啡杯,8,Starbucks coffee cup
星巴克塑料杯,8,Starbucks Plastic Cup
下水道杂物,8,Sewer debris
电蚊香液瓶,8,Electric mosquito coil
膨润土猫砂,8,Bentonite cat litter
油污纸,8,Oily paper
稻草,8,straw
擦过鼻涕的纸巾,8,Wiped nasal tissue
粘毛滚纸,8,Sticky roll paper
酱油袋,8,Soy sauce bag
湿海绵,8,Wet sponge
羊大骨,8,Sheep bone
塑料笔杆,8,Plastic pen holder
过期护肤品,8,Expired skin care products
发箍,8,Hair band
壁纸,8,wallpaper
墙纸,8,wallpaper
薯片袋,8,Potato Chips Bag
脏抹布,8,Dirty cloth
润肤乳,8,Moisturizer
脏玻璃瓶,8,Dirty glass bottle
外卖盒子,8,Takeaway box
外卖餐具,8,Takeaway tableware
调料包,8,seasoning bag
辣条包装袋,8,Spicy Strip Packaging Bag
储奶袋,8,Milk storage bag
玉米衣,8,Corn coat
电动牙刷刷头,8,Electric toothbrush head
过期防晒霜,8,Expired sunscreen
塑料打包盒,8,Plastic packing box
透明打包盒,8,Transparent packing box
食品密封袋,8,Food sealed bag
食品保鲜袋,8,Food preservation bag
榛子壳,8,Hazelnut shell
气垫膜,8,Air cushion film
碧然德过滤芯,8,Bioland filter element
粘尘纸,8,Sticky paper
过滤袋,8,filter bag
炼乳壳,8,Condensed Milk Shell
装蔬菜的塑料袋,8,Plastic bag for vegetables
脚趾甲,8,Toenails
油画刷,8,Oil painting brush
墨胆,8,Ink gall
脏卸妆棉,8,Dirty cleansing cotton
痘痘贴,8,Acne Patch
甲鱼壳,8,Turtle shell
自热火锅加热包,8,Self-heating hot pot heating bag
酸奶杯盖,8,Yogurt Cup Lid
净化器滤芯,8,Purifier filter
纸巾袋,8,Tissue bag
艾灸贴,8,Moxibustion Patch
便纸,8,Paper
双眼皮贴,8,Double eyelid stickers
包裹着猫屎的塑料袋,8,Plastic bag wrapped in cat feces
蜡烛包装,8,Candle packaging
卫生巾外包装,8,Sanitary napkin outer packaging
豆腐盒,8,Tofu box
卫生巾包装袋,8,Sanitary napkin packaging bag
海绵蛋,8,Sponge egg
方便面盒,8,Instant noodle box
纸皮核桃,8,Paper walnut
卷筒纸外包装,8,Web outer packaging
牙签塑料盒,8,Toothpick Plastic Box
醋包,8,Vinegar bag
醋袋,8,Vinegar bag
食品塑料盒,8,Food plastic box
仓鼠垫沙,8,Hamster sand
干发巾,8,Dry hair towel
喜茶杯,8,Hi teacup
面粉袋,8,Flour bag
吸管薄膜,8,Straw film
蟑螂贴,8,Cockroach stickers
眼贴膜,8,Eye Patch
眼膜,8,Eye mask
鼻贴,8,Nose stick
去黑头鼻贴,8,Blackhead Nose Patch
一次性尿布,8,Disposable diapers
香烟灰,8,Cigarette ash
湿厕纸,8,Wet toilet paper
烧烤竹签,8,BBQ bamboo skewers
锡箔餐盒,8,Tinfoil lunch box
湿厕纸包装袋,8,Wet toilet paper packaging bag
酸奶吸管,8,Yogurt straw
铅笔芯,8,Pencil lead
地板蜡,8,Floor wax
粽子包裹绳,8,Zongzi wrapped rope
塑料咖啡杯,8,Plastic coffee cup
硅藻泥,8,Diatom mud
眼镜盒,8,glasses case
逗猫棒,8,Funny cat stick
宠物饲料包装袋,8,Pet food packaging bag
滤尘袋,8,Filter bag
纸胶带,8,Paper tape
膨化食品包装袋,8,Puffed Food Packaging Bag
眼部精华胶囊,8,Eye essence capsules
食品干燥剂,8,Food desiccant
纸咖啡杯,8,Paper coffee cup
空气清新剂罐,8,Air freshener canister
空调滤芯,8,Air conditioning filter
珍珠奶茶杯,8,Pearl milk tea cup
早餐奶包装袋,8,Breakfast milk packaging bag
粉底液,8,Liquid foundation
墙灰,8,Wall gray
湿抹布,8,Wet wipes
一次性内裤,8,Disposable underwear
生物冰袋,8,Biological ice pack
桃子核,8,Peach pit
陶瓷杯,8,porcelain cup
脏牛奶盒,8,Dirty milk carton
一次性塑料杯,8,Disposable plastic cup
乐事薯片盒,8,Lay's Potato Chip Box
蛋黄酥包装盒,8,Egg yolk crisp packing box
瓷勺,8,Porcelain spoon
养乐多盖,8,Yakult cover
胶布,8,Tape
一次性洗脸巾,8,Disposable face towel
沸石猫砂,8,Zeolite cat litter
早餐塑料袋,8,Breakfast plastic bag
豆浆杯盖,8,Soy milk cup lid
口红盒,8,Lipstick box
包裹着猫屎的膨润土猫砂,8,Bentonite cat litter wrapped in cat feces
游泳眼镜,8,swimming glasses
老花眼镜,8,reading glasses
蜡烛塑料模,8,Candle plastic mould
塑料挂钩,8,Plastic hook
奶粉勺子,8,Milk powder spoon
减震泡泡膜,8,Shock absorption bubble film
擦手纸,8,Paper towels
奶粉盖,8,Milk powder cover
水粉颜料,8,Gouache paint
机票,8,Air tickets
演唱会票,8,Concert ticket
车票,8,ticket
大头钉,8,thumbtack
